,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
1839,[-0.02357169],[0.089],[0.999],[0.91],[1.02257169],[0.91]
1840,[-0.02469418],[0.008],[0.918],[0.91],[0.94269418],[0.91]
1841,[0.008963],[-0.084],[1.036],[1.12],[1.027037],[1.12]
1842,[0.10463082],[-0.166],[1.244],[1.41],[1.13936918],[1.41]
1843,[0.07677339],[-0.135],[1.395],[1.53],[1.31822661],[1.53]
1844,[0.09187011],[-0.003],[1.437],[1.44],[1.34512989],[1.44]
1845,[-0.24249965],[0.516],[1.766],[1.25],[2.00849965],[1.25]
1846,[0.10168298],[0.79],[1.93],[1.14],[1.82831702],[1.14]
1847,[-0.02158698],[0.551],[1.611],[1.06],[1.63258698],[1.06]
1848,[-0.06022831],[0.282],[1.372],[1.09],[1.43222831],[1.09]
1849,[-0.26761672],[0.359],[1.839],[1.48],[2.10661672],[1.48]
1850,[0.25623563],[0.772],[2.262],[1.49],[2.00576437],[1.49]
1851,[0.00451842],[0.489],[1.799],[1.31],[1.79448158],[1.31]
1852,[-0.10841745],[0.281],[1.411],[1.13],[1.51941745],[1.13]
1853,[-0.13811448],[0.232],[1.212],[0.98],[1.35011448],[0.98]
1854,[-0.13026272],[0.172],[1.042],[0.87],[1.17226272],[0.87]
1855,[-0.1584015],[0.133],[0.893],[0.76],[1.0514015],[0.76]
1856,[-0.13599573],[0.093],[0.773],[0.68],[0.90899573],[0.68]
1857,[-0.07892403],[0.099],[0.739],[0.64],[0.81792403],[0.64]
1858,[-0.10231939],[0.113],[0.703],[0.59],[0.80531939],[0.59]
1859,[-0.10843351],[0.114],[0.654],[0.54],[0.76243351],[0.54]
1860,[-0.12219764],[0.109],[0.609],[0.5],[0.73119764],[0.5]
1861,[-0.10117301],[0.097],[0.567],[0.47],[0.66817301],[0.47]
1862,[-0.14983264],[0.128],[0.738],[0.61],[0.88783264],[0.61]
1863,[0.14529987],[0.073],[0.943],[0.87],[0.79770013],[0.87]
1864,[-0.7510287],[0.107],[2.257],[2.15],[3.00802872],[2.15]
1865,[-0.8178698],[1.212],[4.972],[3.76],[5.78986978],[3.76]
1866,[-0.92445517],[2.919],[7.619],[4.7],[8.54345517],[4.7]
1867,[-0.12508136],[2.327],[6.577],[4.25],[6.70208136],[4.25]
1868,[-0.02329099],[1.518],[4.778],[3.26],[4.80129099],[3.26]
1869,[-0.17690177],[0.878],[3.368],[2.49],[3.54490177],[2.49]
1870,[-0.15708733],[0.402],[2.362],[1.96],[2.51908733],[1.96]
1871,[-0.1355065],[0.066],[1.646],[1.58],[1.7815065],[1.58]
