,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
464,[-0.6895619],[0.224],[0.814],[0.59],[1.5035619],[0.59]
465,[0.2168943],[0.888],[1.368],[0.48],[1.1511057],[0.48]
466,[0.48207662],[1.779],[2.219],[0.44],[1.73692338],[0.44]
467,[0.52341837],[1.453],[1.883],[0.43],[1.35958163],[0.43]
468,[0.36390778],[0.698],[1.078],[0.38],[0.71409222],[0.38]
469,[0.02177025],[0.62],[0.96],[0.34],[0.93822975],[0.34]
470,[-0.07417439],[0.547],[0.857],[0.31],[0.93117439],[0.31]
471,[-0.08274855],[0.505],[0.765],[0.26],[0.84774855],[0.26]
472,[-0.09162681],[0.435],[0.685],[0.25],[0.77662681],[0.25]
473,[-0.18019262],[0.393],[0.613],[0.22],[0.79319262],[0.22]
474,[-0.20075606],[0.237],[0.547],[0.31],[0.74775606],[0.31]
475,[-0.24011527],[0.299],[0.489],[0.19],[0.72911527],[0.19]
476,[-0.29593834],[0.216],[0.436],[0.22],[0.73193834],[0.22]
477,[-0.26352632],[0.006],[0.396],[0.39],[0.65952632],[0.39]
478,[-0.19897337],[-0.049],[0.361],[0.41],[0.55997337],[0.41]
479,[-0.24829483],[0.014],[0.324],[0.31],[0.57229483],[0.31]
480,[-0.2018941],[0.05],[0.29],[0.24],[0.4918941],[0.24]
481,[-0.25477284],[0.086],[0.266],[0.18],[0.52077284],[0.18]
482,[-0.05661469],[0.078],[0.248],[0.17],[0.30461469],[0.17]
483,[-0.09873248],[0.068],[0.228],[0.16],[0.32673248],[0.16]
484,[-0.12274668],[0.05],[0.21],[0.16],[0.33274668],[0.16]
485,[-0.16685945],[0.04],[0.19],[0.15],[0.35685945],[0.15]
486,[-0.18781276],[0.03],[0.17],[0.14],[0.35781276],[0.14]
487,[-0.29327786],[0.022],[0.152],[0.13],[0.44527786],[0.13]
488,[-0.38330716],[0.016],[0.136],[0.12],[0.51930716],[0.12]
489,[-0.3280013],[0.011],[0.121],[0.11],[0.44900129],[0.11]
490,[-0.24471128],[0.008],[0.108],[0.1],[0.35271128],[0.1]
491,[-0.30955327],[0.006],[0.096],[0.09],[0.40555327],[0.09]
492,[-0.2565991],[-0.004],[0.086],[0.09],[0.3425991],[0.09]
493,[-0.25744247],[-0.013],[0.077],[0.09],[0.33444247],[0.09]
