date        time     P_O_Myra_131moh   T_Myra_131moh   T_Myra_131moh          Q_Myra 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
11.07.2006  00:00:00           3.960          12.400          12.400           0.540 
12.07.2006  00:00:00           5.230          12.860          12.860           0.330 
13.07.2006  00:00:00           9.080          12.740          12.740           0.590 
14.07.2006  00:00:00           6.970          10.480          10.480           0.530 
15.07.2006  00:00:00           4.280           9.400           9.400           0.640 
16.07.2006  00:00:00           0.000          13.140          13.140           0.340 
17.07.2006  00:00:00           4.960          15.170          15.170           0.430 
18.07.2006  00:00:00           1.460          10.970          10.970           0.480 
19.07.2006  00:00:00           0.000           9.430           9.430           0.290 
20.07.2006  00:00:00           0.000          12.170          12.170           0.220 
21.07.2006  00:00:00           0.000          13.560          13.560           0.190 
22.07.2006  00:00:00           0.000          14.140          14.140           0.160 
23.07.2006  00:00:00           0.000          14.630          14.630           0.140 
24.07.2006  00:00:00           0.000          14.400          14.400           0.130 
25.07.2006  00:00:00           0.000          14.340          14.340           0.130 
26.07.2006  00:00:00           0.000          14.950          14.950           0.120 
27.07.2006  00:00:00           0.000          18.140          18.140           0.120 
28.07.2006  00:00:00           9.720          16.790          16.790           0.120 
29.07.2006  00:00:00           0.000          15.030          15.030           0.120 
30.07.2006  00:00:00           0.000          16.320          16.320           0.110 
31.07.2006  00:00:00           0.000          16.640          16.640           0.110 
01.08.2006  00:00:00          16.400          15.440          15.440           0.150 
02.08.2006  00:00:00           1.040          14.570          14.570           0.140 
03.08.2006  00:00:00           0.000          16.200          16.200           0.120 
04.08.2006  00:00:00           0.000          15.880          15.880           0.110 
05.08.2006  00:00:00           0.000          15.810          15.810           0.110 
06.08.2006  00:00:00           0.000          16.390          16.390           0.100 
07.08.2006  00:00:00          20.000          16.390          16.390           0.180 
08.08.2006  00:00:00           2.280          13.500          13.500           0.260 
09.08.2006  00:00:00           0.690          12.710          12.710           0.200 
10.08.2006  00:00:00           0.190          12.840          12.840           0.150 
11.08.2006  00:00:00           0.000          16.140          16.140           0.120 
12.08.2006  00:00:00           0.000          15.890          15.890           0.110 
13.08.2006  00:00:00           0.000          15.390          15.390           0.100 
14.08.2006  00:00:00           0.000          15.210          15.210           0.100 
15.08.2006  00:00:00           0.100          15.140          15.140           0.100 
16.08.2006  00:00:00           3.940          15.720          15.720           0.090 
17.08.2006  00:00:00           0.000          15.690          15.690           0.130 
