date        time     P_O_Lye2_178moh   T_Lye2_178moh   T_Lye2_178moh          Q_Lye2 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
05.07.2006  00:00:00           0.000          20.050          20.050           0.010 
06.07.2006  00:00:00           0.100          20.650          20.650           0.010 
07.07.2006  00:00:00           0.150          19.750          19.750           0.010 
08.07.2006  00:00:00           2.650          16.100          16.100           0.010 
09.07.2006  00:00:00           4.800          14.550          14.550           0.040 
10.07.2006  00:00:00          30.650          14.500          14.500           0.020 
11.07.2006  00:00:00           7.150          14.250          14.250           0.030 
12.07.2006  00:00:00           1.650          13.450          13.450           0.040 
13.07.2006  00:00:00          15.500          13.600          13.600           0.080 
14.07.2006  00:00:00           0.150          12.200          12.200           0.030 
15.07.2006  00:00:00           0.050          12.800          12.800           0.020 
16.07.2006  00:00:00           0.000          14.000          14.000           0.010 
17.07.2006  00:00:00           0.000          14.650          14.650           0.010 
18.07.2006  00:00:00           3.000          14.850          14.850           0.010 
19.07.2006  00:00:00           0.000          15.250          15.250           0.010 
20.07.2006  00:00:00           0.100          17.000          17.000           0.010 
21.07.2006  00:00:00           0.100          17.150          17.150           0.010 
22.07.2006  00:00:00           0.100          17.750          17.750           0.010 
23.07.2006  00:00:00           0.000          16.850          16.850           0.010 
24.07.2006  00:00:00           0.000          16.900          16.900           0.010 
25.07.2006  00:00:00           0.000          17.200          17.200           0.010 
26.07.2006  00:00:00           0.000          15.250          15.250           0.010 
27.07.2006  00:00:00           0.100          19.600          19.600           0.010 
28.07.2006  00:00:00           0.100          18.850          18.850           0.010 
29.07.2006  00:00:00           0.000          17.900          17.900           0.010 
30.07.2006  00:00:00           0.000          17.250          17.250           0.010 
31.07.2006  00:00:00           9.650          19.050          19.050           0.010 
01.08.2006  00:00:00           0.000          16.450          16.450           0.030 
02.08.2006  00:00:00          11.900          16.450          16.450           0.020 
03.08.2006  00:00:00           0.000          17.250          17.250           0.010 
04.08.2006  00:00:00           0.000          17.750          17.750           0.010 
05.08.2006  00:00:00           0.100          17.450          17.450           0.010 
06.08.2006  00:00:00           0.200          17.100          17.100           0.010 
07.08.2006  00:00:00           4.550          17.850          17.850           0.020 
08.08.2006  00:00:00           0.000          14.300          14.300           0.010 
09.08.2006  00:00:00           0.350          14.850          14.850           0.010 
